PlotID	Latitude	Longitude	Ownership	Altitude	Slope	Exposition	Rocks.and.boulder.cover	Bedrock.type	Calcareous.bedrock	Sand	Silt	Clay	Soil.drainage	Soil.depth	Soil.type	Stand.origin	Current.management	Forest.structure	Age.distribution	Age.canopy.trees	RestrictedSpeciesRichness	SpeciesRichness_Focals	ShannonIndex_Focals	TrueShannonIndex_Focals	SimpsonsIndex_Focals	TrueSimpsonsIndex_Focals	PielousIndex_Focals	SpeciesRichness_All	ShannonIndex_All	TrueShannonIndex_All	SimpsonsIndex_All	TrueSimpsonsIndex_All	PielousIndex_All	SpeciesRichness_NonFocals	evergreen	coniferous	Country	Composition	Annual.Mean.T	Annual.Precip	timber_quality	productivity	biomass	regeneration_juveniles	regeneration_seedlings	wood_decomposition	litter_decomposition_all	microbial_biomass	pHFF	pH0.10cm	total_soil_C	total_soil_N	X13CD	X13CW	WUE_average	lack_insect_impact_plot	lack_browsing	no_pathogen_damage	root_biomass	bird_richness	bird_diversity	bat_richness	bat_diversity	earthworm_richness	earthworm_biomass	understorey_subplot_richness	understorey_subplot_diversity	understorey_plot_richness	understorey_plot_diversity	threshold_1	threshold_2	threshold_3	threshold_4	threshold_5	threshold_6	threshold_7	threshold_8	threshold_9	threshold_10	threshold_11	threshold_12	threshold_13	threshold_14	threshold_15	threshold_16	threshold_17	threshold_18	threshold_19	threshold_20	threshold_21	threshold_22	threshold_23	threshold_24	threshold_25	threshold_26	threshold_27	threshold_28	threshold_29	threshold_30	threshold_31	threshold_32	threshold_33	threshold_34	threshold_35	threshold_36	threshold_37	threshold_38	threshold_39	threshold_40	threshold_41	threshold_42	threshold_43	threshold_44	threshold_45	threshold_46	threshold_47	threshold_48	threshold_49	threshold_50	threshold_51	threshold_52	threshold_53	threshold_54	threshold_55	threshold_56	threshold_57	threshold_58	threshold_59	threshold_60	threshold_61	threshold_62	threshold_63	threshold_64	threshold_65	threshold_66	threshold_67	threshold_68	threshold_69	threshold_70	threshold_71	threshold_72	threshold_73	threshold_74	threshold_75	threshold_76	threshold_77	threshold_78	threshold_79	threshold_80	threshold_81	threshold_82	threshold_83	threshold_84	threshold_85	threshold_86	threshold_87	threshold_88	threshold_89	threshold_90	threshold_91	threshold_92	threshold_93	threshold_94	threshold_95	threshold_96	threshold_97	threshold_98	threshold_99
FIN11	62.70393	29.77314	forest_company	124	2	W	0	quartzites	No	1	3	1	2	80	entic_podzol	clear_cutting	low	single	even	34	1	2	0	1	0.867346939	1.152941176	NA	3	0	1	0.79921186	1.251232684	NA	1	0	0	Finland	Be	2.2	623	1.361111111	1.726588444	34.87886226	0	1	21.3643275	47.96099439	483.754453	NA	4.26	70.85575456	3.422970459	NA	NA	NA	-1.644651011	98.63	0.023333333	59.26412002	13	2.437124646	1	1	7	36.865	19.33333333	1.523390277	27	1.685131256	14.93333333	14.93333333	13.86666667	13.86666667	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	12.8	11.73333333	11.73333333	11.73333333	11.73333333	11.73333333	11.73333333	11.73333333	11.73333333	11.73333333	11.73333333	10.66666667	10.66666667	9.6	9.6	8.533333333	8.533333333	8.533333333	7.466666667	7.466666667	7.466666667	7.466666667	7.466666667	7.466666667	7.466666667	7.466666667	7.466666667	7.466666667	7.466666667	7.466666667	7.466666667	7.466666667	7.466666667	7.466666667	6.4	6.4	6.4	6.4	6.4	6.4	5.333333333	5.333333333	5.333333333	5.333333333	4.266666667	4.266666667	4.266666667	4.266666667	4.266666667	4.266666667	3.2	3.2	3.2	3.2	2.133333333	2.133333333	2.133333333	2.133333333	2.133333333	2.133333333	2.133333333	2.133333333	2.133333333	2.133333333	0
FIN12	63.02124	29.78614	state	233	1	NA	0	quartzites	No	1	3	1	2	80	podzol	clear_cutting	low	single	even	32	3	3	1.053141071	2.866641315	0.361422222	2.766847024	0.958610314	3	1.053141071	2.866641315	0.361422222	2.766847024	0.958610314	0	0.626666667	0.626666667	Finland	Be.Piab.Pisy	1.4	639	0.873333333	2.424685167	54.03061597	1	1	21.11065957	36.72078914	271.4806605	3.28	3.52	88.09190425	3.348861182	-25.71245896	-26.99222009	-25.71245896	-0.529044597	89.57	0.627777778	43.60300187	3	1.039720771	2	0.009259259	1	0.06	8	1.26947919	10	1.288043535	14	14	13	13	13	13	13	13	13	13	13	13	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	10	10	10	10	10	10	10	9	9	9	9	9	9	8	6	6	6	5	5	4	4	4	4	4	4	4	4	4	3	3	3	3	3	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1
FIN13	63.02288	29.78503	state	219	2	NW	10	quartzites	No	1	3	1	2	70	podzol	clear_cutting	low	single	even	43	2	3	0.650146162	1.915820829	0.432839506	2.310325157	0.937962644	3	0.650146162	1.915820829	0.432839506	2.310325157	0.937962644	0	0.64556962	0.64556962	Finland	Be.Pisy	1.4	639	0.8	1.437982033	37.6808966	3	2	17.29454014	45.07474213	5646.530542	3.49	3.67	58.1553505	2.082168484	-24.90056568	-27.3931593	-24.90056568	-0.422295158	90.85	0.51	41.84946441	8	1.884871334	1	0.037037037	0	0	10	1.361628784	13	1.42443281	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	14	14	13	13	13	12	12	12	12	12	12	12	12	12	12	12	11	11	11	11	11	10	10	9	8	7	7	7	7	7	7	7	7	6	6	6	6	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	2	2	2	2	2	1	0	0	0	0	0	0	0	0
FIN14	62.86809	30.34193	state	101	1	S	10	granites_and_granodiorites	No	1	3	1	2	80	podzol	clear_cutting	low	single	even	42	1	1	0	1	1	1	NA	1	0	1	1	1	NA	0	1	1	Finland	Pisy	1.8	622	1.339622642	1.159975537	37.44041604	3	43	21.92343315	22.14282667	6556.734713	3.35	4.06	45.18805379	1.542470564	-26.96756553	-27.32584475	-26.96756553	-0.075553522	100	1	34.80738898	7	1.886696785	2	0.25	0	0	9.333333333	1.048770706	13	1.168456828	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	14	14	14	14	14	14	14	14	14	13	13	12	12	12	12	12	12	11	11	10	9	9	8	8	8	8	8	8	8	8	8	8	8	7	7	7	7	7	7	7	7	7	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	3	3
FIN15	62.87065	30.31964	state	97	1	NA	0	granites_and_granodiorites	No	2	3	1	2	80	podzol	clear_cutting	low	single	even	43	2	3	0.527336666	1.694413505	0.615157216	1.625600699	0.760785993	3	0.527336666	1.694413505	0.615157216	1.625600699	0.760785993	0	0.779661017	0.779661017	Finland	Be.Pisy	1.9	622	1.466666667	1.520527726	47.02427725	3	4	11.16165136	36.85015543	6565.971829	3.56	4.01	51.45774823	1.972690684	-25.35821071	-27.01419581	-25.35821071	-0.827696666	94.83	0.52	26.9717573	9	2.031759219	0	0	1	0.114	11.66666667	1.395483398	17	1.657248955	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	12	12	12	11	11	11	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	9	9	9	9	9	8	8	8	8	8	8	8	8	8	8	8	8	7	7	7	7	7	7	7	5	5	4	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	0	0	0
FIN16	62.61105	30.34118	forest_company	143	1	NA	0	granites_and_granodiorites	No	1	3	1	2	80	podzol	clear_cutting	low	single	even	45	1	3	0	1	0.94077135	1.06295754	NA	3	0	1	0.94077135	1.06295754	NA	0	1	1	Finland	Pisy	1.8	634	1.166666667	1.3612405	62.90305056	0	0	21.59294976	29.82299514	4929.549286	3.37	4.1	49.88197004	1.770110969	-26.06535043	-27.0491898	-26.06535043	-0.381126822	91.34	1	43.70628837	6	1.732867951	1	1	1	0.052	11.33333333	1.392281231	15	1.504926706	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	13	13	13	13	13	13	13	13	13	13	12	12	12	12	12	11	11	11	11	11	11	11	11	11	8	7	7	7	7	7	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	1	1	1	1	1	1	1	1
FIN17	62.60722	30.27098	forest_company	139	2	SE	30	granites_and_granodiorites	No	1	3	1	2	70	podzol	clear_cutting	low	single	even	47	2	2	0.602440264	1.82657068	0.58792924	1.700884956	0.869137581	2	0.602440264	1.82657068	0.58792924	1.700884956	0.869137581	0	1	1	Finland	Piab.Pisy	1.8	633	1.016129032	1.770812212	58.28384991	2	64	29.99020494	31.40893072	4316.676845	3.06	3.92	56.85724816	1.901057144	-25.17103509	-27.00649007	-25.17103509	-0.082196557	100	0.9	39.91028365	9	2.094729048	1	5.96E-08	0	0	13.33333333	1.721527447	19	1.903768035	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	14	14	14	14	14	14	14	14	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	12	12	12	12	11	9	9	9	9	8	7	7	7	7	7	7	7	7	7	7	7	6	6	6	6	6	6	6	6	6	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	3	3	2	2	2	2	2	2	1	1
FIN18	62.45451	30.21267	forest_company	110	1	NA	0	mica_schists	No	1	3	1	2	80	podzol	clear_cutting	low	single	even	40	1	2	0	1	0.954570038	1.047592068	NA	2	0	1	0.954570038	1.047592068	NA	0	1	1	Finland	Piab	2	633	0.905882353	2.986644091	68.69490441	0	1	19.50257589	52.95720721	8090.396737	3.11	3.68	62.48925411	2.910537059	-26.17119545	-27.13602207	-26.17119545	-0.014397436	100	0.725	31.03298318	10	2.245952081	1	1	1	0.118	8	1.238468104	10	1.40476216	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13	13	12	12	11	11	11	11	11	11	11	11	11	11	11	11	11	10	10	10	9	9	9	9	9	9	8	8	8	7	7	7	7	7	7	7	7	7	7	7	6	6	6	6	6	6	6	6	6	6	6	6	6	5	5	5	5	5	5	4	4	4	3	3	3	2	2
FIN19	62.4411	30.17894	forest_company	130	2	N	0	mica_schists	No	1	3	1	2	80	podzol	clear_cutting	low	single	even	44	2	3	0.674408727	1.96287204	0.501189061	1.995255042	0.972966127	3	0.674408727	1.96287204	0.501189061	1.995255042	0.972966127	0	1	1	Finland	Piab.Pisy	2.1	634	0.949152542	2.192653804	70.70451226	31	37	27.38308252	33.17378837	350.3645787	3.88	3.79	64.72254032	2.745260282	-26.31262137	-26.93181894	-26.31262137	0	94.55	0.925	28.11500695	9	2.057897532	2	2.58E-09	1	0.274	21	1.735872676	33	2.213032561	15	15	15	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	13	13	13	13	13	12	12	12	12	12	12	11	11	11	10	10	10	10	10	10	10	10	9	9	9	9	9	8	8	8	7	7	7	7	7	6	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	3	2	2	2	2	2
FIN20	62.41688	30.11069	forest_company	119	1	NA	0	mica_schists	No	1	3	1	2	80	entic_podzol	clear_cutting	low	single	even	49	2	2	0.558070129	1.747297186	0.62887574	1.590139255	0.805125007	2	0.558070129	1.747297186	0.62887574	1.590139255	0.805125007	0	0.753846154	0.753846154	Finland	Be.Piab	2.2	628	0.969230769	2.75447089	77.32629244	15	9	61.00147645	38.60961744	8326.053749	3.56	3.51	72.37021368	3.480869468	-25.28230039	-27.74048715	-25.28230039	-1.341636979	68.42	0.35	34.8760619	8	1.890362775	1	5.50E-146	0	0	13	1.246266086	19	1.586594486	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	14	14	14	13	13	13	13	13	13	13	13	13	13	13	11	11	10	10	10	10	9	9	9	9	9	8	7	6	6	6	6	6	5	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	2	1	1	1	1	1	1
FIN21	62.40985	30.22003	forest_company	135	2	NE	0	mica_schists	No	1	3	1	2	80	podzol	clear_cutting	low	single	even	39	1	2	0	1	0.9608	1.040799334	NA	2	0	1	0.9608	1.040799334	NA	0	1	1	Finland	Pisy	2	637	1.14	1.055893981	37.20984328	2	68	20.39655176	37.64912181	328.7191261	3.56	4.05	48.01926463	1.623298564	-25.79362977	-27.00060266	-25.79362977	0	88.12	1	29.68171667	9	2.13833306	2	3.30E-15	0	0	16	1.861636986	22	1.97740112	15	15	15	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13	13	12	12	12	12	12	12	12	12	12	11	11	11	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	7	7	7	7	7	7	7	7	6	6	6	6	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4
FIN22	62.36706	30.22143	forest_company	126	1	NA	0	mica_schists	No	1	3	1	2	80	podzol	clear_cutting	low	single	even	38	2	2	0.689324794	1.99236982	0.503817513	1.98484565	0.994485462	2	0.689324794	1.99236982	0.503817513	1.98484565	0.994485462	0	1	1	Finland	Piab.Pisy	2.1	635	1.039215686	2.604741406	55.45349818	0	0	25.68371622	35.00548188	772.2464293	3.26	3.83	70.91702158	2.94984244	-25.60534343	-27.47313331	-25.60534343	0	95.95	0.783333333	55.596231	6	1.64341772	1	2.14E-05	1	0.346	11.33333333	1.28331011	17	1.364669864	14	14	14	14	14	14	14	14	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	11	11	11	11	11	10	10	9	9	9	9	9	9	9	9	9	9	9	8	8	8	6	6	6	6	5	5	5	4	4	4	4	4	4	4	4	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1
FIN23	62.35893	30.21385	forest_company	122	1	NA	0	mica_schists	No	1	3	1	2	80	podzol	clear_cutting	low	single	even	40	1	2	0	1	0.875555556	1.14213198	NA	2	0	1	0.875555556	1.14213198	NA	0	1	1	Finland	Piab	2.1	634	0.866666667	2.888319227	64.76747484	5	0	46.07687885	42.62906138	790.5851015	2.97	3.72	71.88431868	2.951885023	-26.78401224	-26.68337572	-26.78401224	-0.132085002	100	0.566666667	86.03008671	11	2.262386254	1	1	0	0	8.333333333	0.553778567	10	0.556327666	15	15	15	15	15	15	15	15	14	14	14	14	14	14	14	14	14	14	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	10	9	9	9	9	9	9	9	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	3	3	2	2	2	2
